Disperse (c)Imperial College NDT Lab																	
1 mm Titanium Free Plate
S0		A0		S1		S2		S3		S4		S5		S6		A1		A2		A3		A4		A5		A6	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
2.49694	4.10406	1.70418	2.66618	3.69098	6.11671	4.97649	8.05207	6.90007	10.0953	9.50722	14.0362	10.3571	15.3688	13.0899	19.5131	3.45321	5.73686	5.16821	8.14752	7.19175	10.5279	8.52898	12.6768	11.4272	16.7956	12.8332	18.8885
2.52141	4.05312	1.7486	2.67834	3.75593	6.08634	4.99973	8.0036	6.92243	9.9292	9.5209	13.7781	10.3855	15.1043	13.0976	19.1341	3.50093	5.68688	5.17676	8.10356	7.2255	10.3696	8.55064	12.4557	11.4344	16.4749	12.8589	18.5527
2.54579	4.00424	1.79298	2.68995	3.82153	6.05833	5.02917	7.94384	6.94555	9.77062	9.53475	13.5302	10.4144	14.8508	13.1054	18.7704	3.54801	5.63804	5.1862	8.05673	7.25929	10.2175	8.57296	12.2441	11.4418	16.1669	12.885	18.2304
2.57017	3.95742	1.83734	2.70105	3.88766	6.03231	5.06483	7.87376	6.96946	9.61911	9.54877	13.292	10.4439	14.6078	13.1134	18.4209	3.59442	5.59024	5.19931	7.99456	7.29312	10.0712	8.59595	12.0417	11.4495	15.8709	12.9113	17.9208
2.59462	3.91264	1.88166	2.71167	3.95418	6.00797	5.10676	7.79446	6.99417	9.4743	9.56296	13.063	10.4738	14.3746	13.1216	18.0848	3.64013	5.54336	5.21633	7.91838	7.32698	9.9303	8.61963	11.8477	11.4575	15.5864	12.938	17.6231
2.61921	3.86987	1.92595	2.72182	4.02098	5.98505	5.155	7.70714	7.01969	9.33583	9.57734	12.8426	10.5042	14.1506	13.13	17.7615	3.68511	5.49732	5.23755	7.82979	7.36086	9.79458	8.644	11.6619	11.4657	15.3125	12.965	17.3368
2.64398	3.82906	1.97021	2.73155	4.08797	5.96331	5.20338	7.62352	7.04602	9.20337	9.59191	12.6304	10.5352	13.9354	13.1387	17.4502	3.72935	5.45204	5.26335	7.73056	7.39475	9.66373	8.66906	11.4837	11.4742	15.0489	12.9923	17.0611
2.66898	3.79016	2.01443	2.74086	4.15504	5.94254	5.25191	7.5434	7.07318	9.07663	9.60666	12.4259	10.5666	13.7285	13.1476	17.1503	3.77284	5.40746	5.29415	7.62262	7.42864	9.53748	8.69483	11.3128	11.483	14.7949	13.0198	16.7955
2.69423	3.7531	2.0586	2.74978	4.22211	5.92257	5.30059	7.46659	7.10117	8.95531	9.62162	12.2289	10.5984	13.5293	13.1566	16.8612	3.81557	5.36351	5.32624	7.52065	7.46253	9.41559	8.72131	11.1488	11.492	14.55	13.0476	16.5394
2.71977	3.71781	2.10275	2.75833	4.28909	5.90323	5.34945	7.39292	7.13001	8.83916	9.63678	12.0388	10.6307	13.3376	13.1659	16.5824	3.85753	5.32017	5.35958	7.4243	7.49641	9.29783	8.74849	10.9913	11.5013	14.3138	13.0757	16.2924
2.74561	3.68423	2.14685	2.76652	4.35591	5.88438	5.39849	7.32224	7.15969	8.7279	9.65215	11.8553	10.6635	13.1529	13.1755	16.3132	3.89873	5.2774	5.39418	7.33324	7.53028	9.18398	8.7764	10.84	11.5109	14.0859	13.1041	16.0541
2.77177	3.65228	2.19091	2.77439	4.42248	5.86588	5.44774	7.25441	7.18624	8.63477	9.66774	11.6782	10.6967	12.9749	13.1852	16.0533	3.93916	5.23517	5.43001	7.24714	7.56415	9.07387	8.80502	10.6946	11.5208	13.8658	13.1327	15.8239
2.79827	3.62189	2.23494	2.78194	4.48873	5.84763	5.49721	7.1893	7.20939	8.55807	9.68355	11.5071	10.7303	12.8032	13.1952	15.8022	3.97885	5.19348	5.46703	7.16569	7.59801	8.9673	8.83435	10.5548	11.5309	13.6532	13.1615	15.6014
2.82511	3.593	2.27892	2.78918	4.55459	5.82951	5.54694	7.12681	7.22889	8.49644	9.69959	11.3418	10.7643	12.6375	13.2054	15.5595	4.01781	5.15231	5.50522	7.08863	7.63187	8.86412	8.8644	10.4204	11.5413	13.4477	13.1906	15.3863
2.85229	3.56553	2.32287	2.79614	4.61997	5.81143	5.59696	7.06683	7.24453	8.44883	9.71587	11.1819	10.7988	12.4775	13.2159	15.3248	4.05605	5.11166	5.54454	7.01566	7.66573	8.76417	8.89517	10.291	11.5521	13.2489	13.2199	15.1783
2.87983	3.53941	2.36677	2.80283	4.68482	5.79329	5.64729	7.00929	7.25616	8.41444	9.73239	11.0273	10.8336	12.3229	13.2266	15.0976	4.0936	5.07153	5.58496	6.94653	7.69524	8.67959	8.92664	10.1665	11.5631	13.0567	13.2495	14.9769
2.90772	3.51459	2.41063	2.80925	4.74905	5.775	5.69797	6.9541	7.26366	8.3927	9.74916	10.8776	10.8688	12.1735	13.2375	14.8778	4.13049	5.03194	5.62641	6.88099	7.72041	8.60929	8.95882	10.0466	11.5744	12.8706	13.2792	14.7819
2.93596	3.49098	2.45446	2.81543	4.8126	5.75651	5.74905	6.90119	7.27452	8.36181	9.76618	10.7328	10.9044	12.029	13.2487	14.6648	4.16674	4.99288	5.66886	6.8188	7.74124	8.55235	8.9917	9.93111	11.586	12.6904	13.3092	14.593
2.96455	3.46855	2.49824	2.82138	4.8754	5.73772	5.80055	6.85051	7.28643	8.32872	9.78347	10.5925	10.9403	11.8891	13.2601	14.4585	4.20239	4.95437	5.71226	6.75975	7.75771	8.50808	9.02527	9.81978	11.5979	12.5159	13.3393	14.4099
2.99348	3.44722	2.54199	2.82709	4.93738	5.71858	5.85253	6.80198	7.3028	8.28449	9.80103	10.4566	10.9766	11.7538	13.2718	14.2585	4.23748	4.91643	5.75655	6.70361	7.76983	8.47595	9.05952	9.71246	11.6101	12.3467	13.3697	14.2323
3.02276	3.42693	2.5857	2.8326	4.99848	5.69903	5.90503	6.75557	7.32378	8.22983	9.81887	10.3249	11.0132	11.6227	13.2838	14.0646	4.27203	4.87906	5.80167	6.6502	7.77759	8.45557	9.09444	9.60895	11.6226	12.1828	13.4002	14.06
3.05237	3.40765	2.62936	2.8379	5.05864	5.67903	5.95809	6.71121	7.34959	8.16556	9.837	10.1973	11.0501	11.4957	13.296	13.8765	4.30609	4.84229	5.84757	6.59931	7.78875	8.42651	9.13002	9.50907	11.6354	12.0238	13.4309	13.8928
3.08232	3.38931	2.67299	2.843	5.1178	5.65852	6.01174	6.66887	7.38044	8.09264	9.85541	10.0735	11.0874	11.3726	13.3085	13.694	4.33969	4.80613	5.89418	6.55076	7.80089	8.39526	9.16625	9.41267	11.6485	11.8695	13.4617	13.7304
